,datetime,symbol,open,high,low,close,volume
0,2012-01-13 09:00:00,HOSE:STB,10546.249156,10605.832485,10486.665828,10546.249156,5197096.0
1,2012-01-16 09:00:00,HOSE:STB,10486.665828,10605.832485,10367.499171,10546.249156,2259321.0
2,2012-01-17 09:00:00,HOSE:STB,10486.665828,10605.832485,10486.665828,10546.249156,2158522.0
3,2012-01-18 09:00:00,HOSE:STB,10546.249156,10665.415813,10486.665828,10665.415813,1305985.0
4,2012-01-19 09:00:00,HOSE:STB,10546.249156,10784.582471,10546.249156,10724.999142,1546711.0
5,2012-01-20 09:00:00,HOSE:STB,10724.999142,10844.165799,10665.415813,10724.999142,1060597.0
6,2012-01-30 09:00:00,HOSE:STB,10724.999142,11022.915785,10724.999142,11022.915785,1990959.0
7,2012-01-31 09:00:00,HOSE:STB,11022.915785,11320.832428,11022.915785,11320.832428,2011802.0
8,2012-02-01 09:00:00,HOSE:STB,11320.832428,11380.415756,11261.249099,11320.832428,3118538.0
9,2012-02-02 09:00:00,HOSE:STB,11320.832428,11439.999085,11261.249099,11261.249099,4714119.0
10,2012-02-03 09:00:00,HOSE:STB,11201.665771,11320.832428,11142.082442,11142.082442,4397654.0
11,2012-02-06 09:00:00,HOSE:STB,11142.082442,11380.415756,11082.499113,11380.415756,5130879.0
12,2012-02-07 09:00:00,HOSE:STB,11320.832428,11439.999085,11320.832428,11439.999085,5000081.0
13,2012-02-08 09:00:00,HOSE:STB,11380.415756,11976.249042,11380.415756,11976.249042,4988524.0
14,2012-02-09 09:00:00,HOSE:STB,12512.498999,12572.082328,12452.91567,12572.082328,14597735.0
15,2012-02-10 09:00:00,HOSE:STB,12572.082328,13167.915613,12572.082328,13048.748956,8486903.0
16,2012-02-13 09:00:00,HOSE:STB,13584.998913,13584.998913,12452.91567,12452.91567,3354661.0
17,2012-02-14 09:00:00,HOSE:STB,11916.665713,12035.83237,11857.082385,11857.082385,3042946.0
18,2012-02-15 09:00:00,HOSE:STB,11320.832428,11320.832428,11320.832428,11320.832428,2450567.0
19,2012-02-16 09:00:00,HOSE:STB,10784.582471,10844.165799,10784.582471,10784.582471,10447501.0
20,2012-02-17 09:00:00,HOSE:STB,10844.165799,11142.082442,10724.999142,10963.332456,1299826.0
21,2012-02-20 09:00:00,HOSE:STB,11439.999085,11499.582413,11320.832428,11499.582413,743210.0
22,2012-02-21 09:00:00,HOSE:STB,12035.83237,12035.83237,10963.332456,11320.832428,2540710.0
23,2012-02-22 09:00:00,HOSE:STB,10903.749128,11380.415756,10903.749128,11320.832428,3284223.0
24,2012-02-23 09:00:00,HOSE:STB,10963.332456,11678.332399,10963.332456,11678.332399,6630495.0
25,2012-02-27 09:00:00,HOSE:STB,12810.415642,12810.415642,12512.498999,12810.415642,6760178.0
26,2012-02-28 09:00:00,HOSE:STB,12810.415642,13406.248927,12631.665656,13406.248927,9855122.0
27,2012-02-29 09:00:00,HOSE:STB,13406.248927,13465.832256,12989.165628,13108.332285,42072220.0
28,2012-03-01 09:00:00,HOSE:STB,13048.748956,13346.665599,12989.165628,13227.498942,4956939.0
29,2012-03-05 09:00:00,HOSE:STB,14538.33217,14538.33217,13287.08227,13465.832256,3013173.0
30,2012-03-06 09:00:00,HOSE:STB,12989.165628,13108.332285,12810.415642,12810.415642,5163288.0
31,2012-03-08 09:00:00,HOSE:STB,12214.582356,12214.582356,12214.582356,12214.582356,664865.0
32,2012-03-09 09:00:00,HOSE:STB,11618.74907,11916.665713,11618.74907,11618.74907,5285000.0
33,2012-03-12 09:00:00,HOSE:STB,11320.832428,12095.415699,11201.665771,12095.415699,12095630.0
34,2012-03-13 09:00:00,HOSE:STB,12572.082328,12691.248985,12333.749013,12691.248985,4209398.0
35,2012-03-14 09:00:00,HOSE:STB,13227.498942,13287.08227,12989.165628,13287.08227,7700239.0
36,2012-03-15 09:00:00,HOSE:STB,13346.665599,13882.915556,13167.915613,13882.915556,11906449.0
37,2012-03-16 09:00:00,HOSE:STB,13882.915556,14359.582185,13644.582242,14359.582185,19745220.0
38,2012-03-19 09:00:00,HOSE:STB,14121.24887,14299.998856,14002.082213,14061.665542,3012636.0
39,2012-03-20 09:00:00,HOSE:STB,13704.16557,13882.915556,13704.16557,13882.915556,3801482.0
40,2012-03-21 09:00:00,HOSE:STB,14002.082213,14240.415527,13882.915556,14121.24887,2875081.0
41,2012-03-22 09:00:00,HOSE:STB,13704.16557,14121.24887,13704.16557,14002.082213,1186606.0
42,2012-03-23 09:00:00,HOSE:STB,13942.498885,14180.832199,13882.915556,14121.24887,1664928.0
43,2012-03-26 09:00:00,HOSE:STB,14299.998856,14299.998856,14002.082213,14299.998856,2383047.0
44,2012-03-27 09:00:00,HOSE:STB,14121.24887,14299.998856,13882.915556,13882.915556,5144356.0
45,2012-03-28 09:00:00,HOSE:STB,13942.498885,14061.665542,13763.748899,14002.082213,2360171.0
46,2012-03-29 09:00:00,HOSE:STB,13942.498885,14061.665542,13882.915556,13942.498885,2336710.0
47,2012-03-30 09:00:00,HOSE:STB,14002.082213,14002.082213,13823.332227,13823.332227,1380569.0
48,2012-04-03 09:00:00,HOSE:STB,13584.998913,13823.332227,13584.998913,13704.16557,2256636.0
49,2012-04-04 09:00:00,HOSE:STB,13644.582242,13704.16557,13644.582242,13704.16557,914113.0
50,2012-04-05 09:00:00,HOSE:STB,13584.998913,13882.915556,13584.998913,13882.915556,5943858.0
51,2012-04-06 09:00:00,HOSE:STB,13942.498885,14419.165513,13942.498885,14299.998856,35192343.0
52,2012-04-09 09:00:00,HOSE:STB,14478.748842,14478.748842,14359.582185,14359.582185,1670230.0
53,2012-04-10 09:00:00,HOSE:STB,14359.582185,14776.665485,14299.998856,14717.082156,3644609.0
