,datetime,symbol,open,high,low,close,volume
0,2017-04-21 09:00:00,HOSE:PLX,51800.0,51800.0,46000.0,48900.0,4820970.0
1,2017-04-24 09:00:00,HOSE:PLX,48900.0,49500.0,48000.0,48400.0,2711302.0
2,2017-04-25 09:00:00,HOSE:PLX,48100.0,48400.0,45050.0,45150.0,2553550.0
3,2017-04-26 09:00:00,HOSE:PLX,43100.0,44500.0,43100.0,44100.0,2123790.0
4,2017-04-27 09:00:00,HOSE:PLX,44100.0,45900.0,44100.0,45900.0,875430.0
5,2017-04-28 09:00:00,HOSE:PLX,46100.0,47000.0,46100.0,46650.0,861910.0
6,2017-05-03 09:00:00,HOSE:PLX,46650.0,46800.0,46000.0,46750.0,591490.0
7,2017-05-04 09:00:00,HOSE:PLX,46750.0,47500.0,46700.0,47500.0,3047740.0
8,2017-05-05 09:00:00,HOSE:PLX,47100.0,47500.0,47000.0,47100.0,1274310.0
9,2017-05-08 09:00:00,HOSE:PLX,47000.0,47500.0,46600.0,47500.0,1414880.0
10,2017-05-09 09:00:00,HOSE:PLX,47500.0,47500.0,46900.0,46900.0,864620.0
11,2017-05-10 09:00:00,HOSE:PLX,46900.0,47400.0,46900.0,47100.0,2706150.0
12,2017-05-11 09:00:00,HOSE:PLX,47100.0,49700.0,47100.0,48600.0,3351200.0
13,2017-05-12 09:00:00,HOSE:PLX,48600.0,48900.0,48400.0,48600.0,1272460.0
14,2017-05-15 09:00:00,HOSE:PLX,48250.0,49200.0,48000.0,48700.0,2429190.0
15,2017-05-16 09:00:00,HOSE:PLX,49100.0,52000.0,48700.0,51100.0,3627190.0
16,2017-05-17 09:00:00,HOSE:PLX,51000.0,52000.0,50500.0,51000.0,1642560.0
17,2017-05-18 09:00:00,HOSE:PLX,50800.0,53000.0,50800.0,53000.0,3077950.0
18,2017-05-19 09:00:00,HOSE:PLX,53800.0,56700.0,53300.0,56700.0,4545030.0
19,2017-05-22 09:00:00,HOSE:PLX,59800.0,60600.0,59000.0,60600.0,3062670.0
20,2017-05-23 09:00:00,HOSE:PLX,61000.0,64500.0,60600.0,60600.0,2839240.0
21,2017-05-24 09:00:00,HOSE:PLX,60600.0,60700.0,57500.0,59000.0,1789900.0
22,2017-05-25 09:00:00,HOSE:PLX,59000.0,60100.0,58600.0,59000.0,704100.0
23,2017-05-26 09:00:00,HOSE:PLX,58200.0,58900.0,57600.0,58100.0,1237030.0
24,2017-05-29 09:00:00,HOSE:PLX,58000.0,60500.0,58000.0,60100.0,967250.0
25,2017-05-30 09:00:00,HOSE:PLX,60100.0,62100.0,60100.0,61000.0,1067000.0
26,2017-05-31 09:00:00,HOSE:PLX,61500.0,61700.0,60400.0,61200.0,714650.0
27,2017-06-01 09:00:00,HOSE:PLX,61200.0,61800.0,61200.0,61200.0,522880.0
28,2017-06-02 09:00:00,HOSE:PLX,60700.0,61200.0,59700.0,59700.0,1244790.0
29,2017-06-05 09:00:00,HOSE:PLX,59700.0,61800.0,59200.0,61100.0,703100.0
